Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,Mean,Error,StdDev
InsertAtHead,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,4.343 μs,6.8432 μs,0.3751 μs
InsertAtTail,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,4.106 μs,0.9803 μs,0.0537 μs
Search,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,173.516 μs,174.7729 μs,9.5799 μs
Max,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,334.814 μs,257.2868 μs,14.1028 μs
Predecessor,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,405.117 μs,410.2119 μs,22.4851 μs
Rank,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,144.487 μs,547.9261 μs,30.0337 μs
InsertAtHead,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,185.712 μs,416.0343 μs,22.8042 μs
InsertAtTail,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,271.797 μs,780.8676 μs,42.8020 μs
Search,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,"23,282.012 μs","88,807.5220 μs","4,867.8399 μs"
Max,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,"32,717.572 μs","37,342.3019 μs","2,046.8576 μs"
Predecessor,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,"40,814.786 μs","81,557.4463 μs","4,470.4388 μs"
Rank,Job-SLGRKP,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 7.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,"14,466.105 μs","21,825.1924 μs","1,196.3124 μs"
